#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,company
,,0,2015-04-01T16:00:00Z,40.6,open,Stock_Price,Microsoft
,,0,2015-04-01T16:00:00Z,40.76,high,Stock_Price,Microsoft
,,0,2015-04-01T16:00:00Z,40.31,low,Stock_Price,Microsoft
,,0,2015-04-01T16:00:00Z,40.72,close,Stock_Price,Microsoft
,,0,2015-04-01T16:00:00Z,36865322.0,volume,Stock_Price,Microsoft
,,0,2015-04-02T16:00:00Z,40.12,low,Stock_Price,Microsoft
,,0,2015-04-02T16:00:00Z,40.29,close,Stock_Price,Microsoft
,,0,2015-04-02T16:00:00Z,40.74,high,Stock_Price,Microsoft
,,0,2015-04-02T16:00:00Z,40.66,open,Stock_Price,Microsoft
,,0,2015-04-02T16:00:00Z,37487476.0,volume,Stock_Price,Microsoft
,,0,2015-04-06T16:00:00Z,41.55,close,Stock_Price,Microsoft
,,0,2015-04-06T16:00:00Z,40.34,open,Stock_Price,Microsoft
,,0,2015-04-06T16:00:00Z,40.18,low,Stock_Price,Microsoft
,,0,2015-04-06T16:00:00Z,41.78,high,Stock_Price,Microsoft
,,0,2015-04-06T16:00:00Z,39223692.0,volume,Stock_Price,Microsoft
,,0,2015-04-07T16:00:00Z,41.91,high,Stock_Price,Microsoft
,,0,2015-04-07T16:00:00Z,41.53,close,Stock_Price,Microsoft
,,0,2015-04-07T16:00:00Z,41.31,low,Stock_Price,Microsoft
,,0,2015-04-07T16:00:00Z,41.61,open,Stock_Price,Microsoft
,,0,2015-04-07T16:00:00Z,28809375.0,volume,Stock_Price,Microsoft
,,0,2015-04-08T16:00:00Z,41.42,close,Stock_Price,Microsoft
,,0,2015-04-08T16:00:00Z,41.04,low,Stock_Price,Microsoft
,,0,2015-04-08T16:00:00Z,24753438.0,volume,Stock_Price,Microsoft
,,0,2015-04-08T16:00:00Z,41.48,open,Stock_Price,Microsoft
,,0,2015-04-08T16:00:00Z,41.69,high,Stock_Price,Microsoft
,,0,2015-04-09T16:00:00Z,41.62,high,Stock_Price,Microsoft
,,0,2015-04-09T16:00:00Z,41.48,close,Stock_Price,Microsoft
,,0,2015-04-09T16:00:00Z,25723861.0,volume,Stock_Price,Microsoft
